Cover,Title,Author,Genre,Rating,Rating Count,Year,Pages
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1409595968i/929.jpg,Memoirs of a Geisha,Arthur Golden,"Fiction, Historical , Fiction, Romance, Classics",4.15,"1,965,925 ratings35,262 reviews","First published January 1, 1997","503 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1382846449i/7144.jpg,Crime and Punishment,Fyodor Dostoevsky,"Classics, Fiction, Russia, Literature, Russian ",4.26,"863,310 ratings33,675 reviews","First published January 1, 1866","671 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1618526890i/13335037.jpg,Divergent,Veronica Roth,"Young , Adult, Dystopia, Fantasy, Fiction",4.15,"3,831,171 ratings118,886 reviews","First published April 25, 2011","487 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1411852091i/24280.jpg,Les Misérables,Victor Hugo,"Classics, Fiction, Historical , Fiction, Literature",4.20,"783,651 ratings22,183 reviews","First published January 1, 1862","1463 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327869409i/7624.jpg,Lord of the Flies,William Golding,"Classics, Fiction, Young , Adult, School",3.69,"2,824,763 ratings53,558 reviews","First published September 17, 1954","182 pages, Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1629680008i/18135.jpg,Romeo and Juliet,William Shakespeare,"Classics, Plays, Fiction, School, Drama",3.74,"2,533,650 ratings29,947 reviews","First published January 1, 1597","281 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1615094578i/8127.jpg,Anne of Green Gables,L.M. Montgomery,"Classics, Fiction, Young , Adult, Historical ",4.30,"945,813 ratings37,005 reviews","First published January 1, 1908","320 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1432730315i/256683.jpg,City of Bones,Cassandra Clare,"Fantasy, Young , Adult, Romance, Paranormal",4.07,"1,959,983 ratings74,357 reviews","First published March 27, 2007","485 pages, Hardcover"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1622355533i/4667024.jpg,The Help,Kathryn Stockett,"Fiction, Historical , Fiction, Historical, Adult",4.47,"2,673,540 ratings89,588 reviews","First published February 10, 2009","464 pages, Hardcover"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1408303130i/375802.jpg,Ender’s Game,Orson Scott Card,"Science , Fiction, Fiction, Young , Adult",4.31,"1,344,823 ratings48,800 reviews","First published January 15, 1985","324 pages, Mass Market Paperback"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387151694i/17245.jpg,Dracula,Bram Stoker,"Classics, Horror, Fiction, Fantasy, Vampires",4.01,"1,228,802 ratings43,732 reviews","First published May 26, 1897","488 pages, Paperback"
